brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn
Gucci,flower dionysus shoulder bag beige,a161237,12/6/19,1/15/21,7days,BA,Y
El estilo de Claire,beads cropped jacket black,a1140859,1/2/21,1/15/21,4days,O,
Danha,embroidery point oriental mini skirt blue,a1140859,1/2/21,1/15/21,4days,B,
Danha,graphics pattern top pink,a1140859,1/2/21,1/15/21,4days,T,
Burberry London,buckle basic pattern zipup-jumper navy,a1140740,1/1/21,1/15/21,7days,O,Y
Prada,ruffle detail long coat,a110231,10/18/18,1/15/21,7days,O,Y
Max Mara,strap basic pattern wrap-coat black,a1139960,12/26/20,1/15/21,7days,O,Y
Molliolli,pocket basic pattern fur-outer ivory,a115159,1/29/19,1/15/21,4days,O,Y
Gucci,dionysus cross bag,a1143028,1/14/21,1/15/21,4days,BA,Y
Sandro,pattern pointed cardigan black,a117306,3/2/19,1/15/21,7days,O,Y
Louis Vuitton,twist monogram patent shoulder bag black,a1140216,12/28/20,1/15/21,7days,BA,Y
Tory Burch,flower ethnic pattern cross bag white,a1141255,1/5/21,1/15/21,4days,BA,Y
Prada,color fur detail coat black,a1137815,12/18/20,1/15/21,7days,O,Y
Prada,zipper detail cape padding jumper,a1135135,12/4/20,1/15/21,7days,O,Y
Chloe,faye small bag black,a1129386,11/9/20,1/15/21,4days,BA,Y
Prada,logo hobo bag black,a1143143,1/15/21,1/15/21,4days,BA,Y
Gucci,microssima mini cross body bag pink,a1142921,1/14/21,1/14/21,4days,BA,Y
Time,pocket basic pattern coat black,a1142921,1/14/21,1/14/21,4days,O,Y
The Izzat,check pattern double breasted coat gray,a1142834,1/13/21,1/14/21,4days,O,Y
El estilo de Claire,broach shirt layered dress brown,a1141367,1/6/21,1/14/21,4days,D,
Mojosphine,Geometric pattern ribbon belt dress,a1141367,1/6/21,1/14/21,4days,D,
Ted Baker,color block pattern wool fur-outer,a1138992,12/21/20,1/14/21,4days,O,Y
& Other Stories,basic pattern sweater ivory,a1143019,1/14/21,1/14/21,4days,T,
Fendi,stripe pattern two way bucket bag brown,a1142679,1/13/21,1/14/21,7days,BA,Y
Balmain,basic pattern sweat-shirts white,a1142679,1/13/21,1/14/21,7days,T,Y
Celine,lined zip-up jumper black,a1142679,1/13/21,1/14/21,7days,O,Y
Burberry,shawl collar double coat,a1142679,1/13/21,1/14/21,7days,O,Y
Fendi,two way bucket bag white,a192991,4/2/20,1/14/21,7days,BA,Y
Chanel,brooch stripe pattern turtle neck turtleneck navy,a1136028,12/9/20,1/14/21,4days,T,Y
Sandro,ruffle basic pattern A-Line dress black,a1136028,12/9/20,1/14/21,4days,D,Y
Prada,quilted cross body bag black,a1142924,1/14/21,1/14/21,4days,BA,Y
Sandro,button check pattern cape navy,a1142924,1/14/21,1/14/21,4days,O,Y
Dior,croisiere patent lady bag,a1127813,10/31/20,1/14/21,4days,BA,Y
Bottega Veneta,intrecciato clutch bag black 2,a1142841,1/13/21,1/14/21,4days,BA,Y
Gucci,padlock GG canvas shoulder bag,a143862,9/29/19,1/14/21,4days,BA,Y
Celine,belted short jacket,a1141112,1/4/21,1/13/21,4days,O,Y
Gucci,flap cross bag black,a1141099,1/4/21,1/13/21,4days,BA,Y
Prada,single button modern coat black,a1142328,1/11/21,1/13/21,4days,O,Y
Gucci,vintage web shoulder bag black,a1139204,12/22/20,1/13/21,7days,BA,Y
Plastic Island,button flower pattern A-Line dress ivory,a13934,3/27/18,1/13/21,4days,D,Y
Gucci,brooch check pattern H-Line dress ivory,a1141580,1/7/21,1/13/21,4days,D,Y
Reneevon,ribbon casual dress dark pink,a1136116,12/9/20,1/13/21,4days,D,Y
